source,night,stamp,receiver,beacon,mac,window,n_windows,sfo_median,sfo_iqr,sfo_sd,cfo_median,cfo_iqr,cfo_sd
heldout_window,7,20260904_010024,s3,B3,f4:2d:c9:70:72:30,T0+5000..6800 (T0+8120..9920 on night 2),2397,0.021850,0.000845,0.000627,0.6081,7.9195,5.9097
night8_block_T0+11400,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+11400..11700,226,0.006233,0.000746,0.000546,0.1856,4.1721,2.9256
night8_block_T0+11400,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+11400..11700,203,0.010659,0.001086,0.000876,0.2501,3.5001,2.7186
night8_block_T0+11400,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+11400..11700,218,0.028917,0.002002,0.001469,0.6221,3.4897,2.9081
night8_block_T0+11400,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+11400..11700,182,0.021689,0.002360,0.003185,0.3254,5.9457,4.3197
night8_block_T0+11400,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+11400..11700,358,0.009772,0.000624,0.000480,-0.3554,6.8860,4.8161
night8_block_T0+11400,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+11400..11700,372,0.011029,0.000633,0.000462,-1.6400,7.2275,4.9818
night8_block_T0+13200,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+13200..13500,215,0.006457,0.001021,0.000680,0.1360,3.9079,2.8979
night8_block_T0+13200,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+13200..13500,189,0.009476,0.001097,0.001331,-0.2448,3.7356,2.5112
night8_block_T0+13200,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+13200..13500,247,0.028163,0.002474,0.002371,0.0840,4.4355,3.3572
night8_block_T0+13200,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+13200..13500,215,0.023148,0.016944,0.012345,-0.3614,6.2819,4.1306
night8_block_T0+13200,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+13200..13500,366,0.010577,0.000783,0.000746,-0.0464,6.1444,4.8356
night8_block_T0+13200,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+13200..13500,389,0.011564,0.000766,0.000739,0.9541,6.8004,5.0936
night8_block_T0+15000,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+15000..15300,225,0.006353,0.000845,0.000609,0.5543,4.0922,2.9471
night8_block_T0+15000,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+15000..15300,198,0.011128,0.001138,0.000944,0.2767,3.7097,2.8461
night8_block_T0+15000,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+15000..15300,225,0.026417,0.002765,0.001791,0.0591,4.3958,3.3964
night8_block_T0+15000,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+15000..15300,195,0.021299,0.003061,0.006892,-0.1498,5.5123,4.4494
night8_block_T0+15000,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+15000..15300,357,0.009759,0.000751,0.000577,-0.5902,6.4997,4.8015
night8_block_T0+15000,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+15000..15300,376,0.011666,0.000658,0.000533,-0.1174,6.4656,4.9840
night8_block_T0+16800,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+16800..17100,226,0.006263,0.000805,0.000558,0.2741,3.9832,2.9369
night8_block_T0+16800,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+16800..17100,185,0.010393,0.001206,0.000858,0.1702,3.4018,2.4938
night8_block_T0+16800,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+16800..17100,238,0.028140,0.001235,0.000977,-0.2322,4.2914,3.2593
night8_block_T0+16800,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+16800..17100,198,0.022644,0.003461,0.005640,-0.6714,5.7059,4.0726
night8_block_T0+16800,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+16800..17100,366,0.009982,0.000574,0.000448,-0.6095,7.7530,5.2619
night8_block_T0+16800,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+16800..17100,384,0.011817,0.000585,0.000457,-0.5918,7.6001,5.3527
night8_block_T0+18600,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+18600..18900,219,0.006269,0.000927,0.000666,0.0694,4.4562,2.8591
night8_block_T0+18600,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+18600..18900,206,0.010007,0.001215,0.000893,-0.2333,3.8697,2.8572
night8_block_T0+18600,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+18600..18900,228,0.027983,0.002007,0.001357,0.5621,4.1294,2.9745
night8_block_T0+18600,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+18600..18900,187,0.026571,0.017822,0.009675,-0.0528,5.8757,4.1894
night8_block_T0+18600,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+18600..18900,370,0.009159,0.000706,0.000515,0.5406,6.4252,4.9743
night8_block_T0+18600,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+18600..18900,386,0.010895,0.000675,0.000481,-0.0467,7.4209,5.6393
night8_block_T0+20400,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+20400..20700,190,0.010358,0.003370,0.004449,0.0941,2.9723,2.3509
night8_block_T0+20400,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+20400..20700,212,0.009902,0.003406,0.003549,-0.2894,3.5142,2.7943
night8_block_T0+20400,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+20400..20700,235,0.022453,0.006894,0.006352,0.0761,4.4244,3.5553
night8_block_T0+20400,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+20400..20700,156,0.018070,0.003878,0.007953,-0.2666,5.2397,3.9676
night8_block_T0+20400,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+20400..20700,316,0.008758,0.002745,0.002360,-0.3751,5.5157,4.4016
night8_block_T0+20400,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+20400..20700,326,0.008481,0.001958,0.001538,-0.3585,7.0165,5.0341
night8_block_T0+22200,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+22200..22500,67,0.016644,0.010571,0.014713,-0.2733,2.9974,2.5551
night8_block_T0+22200,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+22200..22500,86,0.011449,0.005774,0.003839,0.0129,4.3812,3.2032
night8_block_T0+22200,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+22200..22500,29,-0.023288,0.007630,0.022932,1.4372,5.6486,3.4874
night8_block_T0+22200,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+22200..22500,99,0.013827,0.010646,0.006764,0.9002,5.9211,4.0298
night8_block_T0+2400,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+2400..2700,235,0.006062,0.000869,0.000612,0.5095,4.4825,3.0510
night8_block_T0+2400,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+2400..2700,196,0.009647,0.001055,0.000773,0.4023,3.0152,2.4198
night8_block_T0+2400,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+2400..2700,220,0.029030,0.001502,0.001247,-0.2797,4.2576,3.1030
night8_block_T0+2400,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+2400..2700,208,0.022808,0.003287,0.005235,-0.4502,5.2296,4.0285
night8_block_T0+2400,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+2400..2700,367,0.010470,0.000586,0.000417,0.5121,7.4717,5.2653
night8_block_T0+2400,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+2400..2700,390,0.010691,0.000585,0.000438,0.1461,8.1372,5.9119
night8_block_T0+4200,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+4200..4500,220,0.005889,0.000785,0.000574,0.1257,4.0455,2.8433
night8_block_T0+4200,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+4200..4500,186,0.008604,0.001044,0.000780,-0.2741,3.8861,2.8308
night8_block_T0+4200,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+4200..4500,245,0.028453,0.001384,0.001030,-0.0310,4.5771,3.3577
